char	strokes	frequency	jlpt	grade	radicals	parts	meanings	readings_kun	readings_on	compounds_kun	compounds_on	words
日	4	1	N5	grade 1	sun, day 日	日	day, sun, Japan, counter for days	ひ, -び, -か	ニチ, ジツ	{日:ひ} day, days, sun, sunshine, sunlight, case (esp. unfortunate), event<br/>{日陰:ひかげ} shade, shadow, sunshine<br/>{在りし日:ありしひ} past days, bygone days, days of yore, the olden days, while still alive, during one's lifetime<br/>{月日:つきひ} time, years, days, (one's) life, the Moon and the Sun	{日:ニチ} Sunday, day (of the month), counter for days, Japan<br/>{日時:ニチジ} date and time<br/>{抗日:コウニチ} anti-Japanese<br/>{在日:ザイニチ} resident in Japan (of a foreigner), situated in Japan (e.g. of an embassy), Korean living in Japan<br/>{日月:ジツゲツ} sun and moon, time, days and months, years, Sunday and Monday<br/>{日外:ジツガイ} at one time, some time ago, once<br/>{後日:ゴジツ} in the future, another day, later<br/>{両日:リョウジツ} both days, two days	{日:にち}<br/>{日:ひ}<br/>{日:か}<br/>{日:にち}{曜:よう}{日:び}<br/>{日記:にっき}<br/>{日:ひ}{付:づけ}<br/>{日:ひ}{焼:や}け<br/>{日:にち}{曜:よう}<br/>{日光:にっこう}<br/>{日:にち}{常:じょう}<br/>{日:ひ}{差:ざ}し<br/>{日:ひ}の{出:で}<br/>{日:にち}{時:じ}<br/>{日:ひ}{陰:かげ}<br/>{日程:にってい}<br/>{日:にち}{用:よう}{品:ひん}<br/>{日:ひ}{帰:がえ}り<br/>{日課:にっか}<br/>{日:ひ}の{入:い}り<br/>{日:ひ}{々:び}
一	1	2	N5	grade 1	one 一	一	one, one radical (no.1)	ひと-, ひと.つ	イチ, イツ	{一つ:ひとつ} one, for one thing, only, (not) even, just (e.g. "just try it")<br/>{一つ一つ:ひとつひとつ} one-by-one, separately, in detail	{一:イチ} one, best, first, foremost, beginning, start, ace (playing card), bottom string (on a shamisen, etc.)<br/>{一位:イチイ} first place, first rank, unit's position, Japanese yew (Taxus cuspidata)<br/>{均一:キンイツ} uniformity, equality<br/>１対１ 【イチタイイチ】 one-to-one, one-on-one<br/>{一に:イツニ} solely, entirely, only, or<br/>{一形式:イツケイシキ} one form (of), a form of<br/>{均一:キンイツ} uniformity, equality<br/>{画一:カクイツ} uniformity, standardization, standardisation	{一:いち}<br/>{一:ひと}つ<br/>{一:ひと}<br/>{一:いっち}<br/>{一:イー}<br/>{一:いつ}<br/>{一:いっ}{致:ち}<br/>{一:いち}{番:ばん}<br/>{一:いっ}{緒:しょ}<br/>{一昨年:おととし}<br/>{一:いち}{日:にち}<br/>{一:いっ}{生:しょう}{懸:けん}{命:めい}<br/>{一:いち}{度:ど}<br/>{一:いっ}{方:ぽう}<br/>{一:いっ}{体:たい}<br/>{一:ひと}{言:こと}<br/>{一:いっ}{層:そう}
国	8	3	N5	grade 2	enclosure 囗	丶 囗 王	country	くに	コク	{国:くに} country, state, region, national government, central government, home (i.e. hometown, home country), province (of Japan), land, earth<br/>{国人:こくじん} indigenous person, inhabitant of a country, local, native, local lords and samurai, daimyo who did not leave his domains to meet the shogun in Kyoto (during the Muromachi period)<br/>{お国:おくに} your native country, your hometown, my home country (i.e. Japan), countryside, country, daimyo's territory (Edo period)<br/>{根堅州国:ねのかたすくに} underworld, netherworld	{国益:コクエキ} national interest<br/>{国営:コクエイ} government management, state management<br/>{最恵国:サイケイコク} most favored nation, most favoured nation, MFN<br/>{異国:イコク} foreign country	{国:くに}<br/>{国境:こっきょう}<br/>{国:こく}{民:みん}<br/>{国家:こっか}<br/>{国:こく}{語:ご}<br/>{国:こく}{籍:せき}<br/>{国:こく}{土:ど}<br/>{国会:こっかい}<br/>{国:こく}{王:おう}<br/>{国:こく}{立:りつ}<br/>{国:こく}{連:れん}<br/>{国:こく}{防:ぼう}<br/>{国:こく}{産:さん}<br/>{国:こく}{際:さい}<br/>{国旗:こっき}<br/>{国:こく}{民:みん}{総:そう}{生:せい}{産:さん}<br/>{国会議員:こっかいぎいん}<br/>{国歌:こっか}<br/>{国:こく}{債:さい}<br/>{国:こく}{勢:せい}{調:ちょう}{査:さ}
会	6	4	N4	grade 2	man, human 人 (亻)	二 个 厶	meeting, meet, party, association, interview, join	あ.う, あ.わせる, あつ.まる	カイ, エ	{会う:あう} to meet, to encounter, to see, to have an accident, to have a bad experience<br/>{逢うは別れの始め:あうはわかれのはじめ} we meet only to part, meeting is the first step to parting<br/>{会わせる:あわせる} to make (someone) to meet, to let (someone) meet, to expose to, to subject to	{会:カイ} meeting, assembly, party, association, club<br/>{会員:カイイン} member, the membership<br/>{例会:レイカイ} regular meeting<br/>{際会:サイカイ} meeting, facing, confronting<br/>{会:エ} gathering (esp. Buddhist, festive, etc.)<br/>{会釈:エシャク} slight bow (as a greeting or sign of gratitude), nod, salutation, consideration, thoughtfulness<br/>{法会:ホウエ} Buddhist service (e.g. memorial service)<br/>{御斎会:ゴサイエ} imperial event at which high monks recited the Golden Light Sutra to pray for national security and good harvests (held annually at the palace from the 8th to the 14th of the first lunar month, between the Nara and Muromachi periods)	{会:かい}<br/>{会:え}<br/>{会:かい}{社:しゃ}<br/>{会:かい}{議:ぎ}<br/>{会:かい}{話:わ}<br/>{会:かい}{議:ぎ}{室:しつ}<br/>{会:かい}{計:けい}<br/>{会:あ}う<br/>{会:かい}{館:かん}<br/>{会:かい}{場:じょう}<br/>{会:かい}{合:ごう}<br/>{会:かい}{員:いん}<br/>{会:かい}{見:けん}<br/>{会:かい}{談:だん}<br/>{会:かい}{長:ちょう}<br/>{会:かい}{計:けい}{年:ねん}{度:ど}<br/>{会:かい}{計:けい}{士:し}<br/>{会:かい}{費:ひ}<br/>{会:かい}{期:き}<br/>{会:かい}{堂:どう}
人	2	5	N5	grade 1	man, human 人 (亻)	人	person	ひと, -り, -と	ジン, ニン	{人:ひと} man, person, human being, mankind, people, human (Homo sapiens), humans as a species, character, personality, man of talent, true man, another person, other people, others, adult<br/>{人一倍:ひといちばい} (much) more than others, exceedingly, extremely, unusually<br/>{貴人:きじん} aristocrat, nobleman, dignitary, person of high rank<br/>{いい人:いいひと} good-natured person, good person, (one's) lover, boyfriend, girlfriend	{人:ジン} -ian (e.g. Italian), -ite (e.g. Tokyoite), -er (e.g. performer, etc.), person working with ..., man, person, people<br/>{人為:ジンイ} human work, human agency, art, artificiality<br/>{米人:ベイジン} an American<br/>{俳人:ハイジン} haiku poet<br/>{人:ニン} counter for people, person<br/>{人気:ニンキ} popularity, public favor, condition (e.g. market), tone, character, nature<br/>{同人:ドウジン} same person, said person, the person in question, coterie, clique, fraternity, kindred spirits, comrade, colleague, dōjin, doujin, Japanese fans or hobbyists who produce their owns magazines, manga, software, etc.<br/>{代人:ダイニン} substitute, deputy, proxy, representative, agent	{人:ひと}<br/>{人:じん}<br/>{人:にん}<br/>{人:と}<br/>{人:にん}{形:ぎょう}<br/>{人:じん}{口:こう}<br/>{人:にん}{間:げん}<br/>{人:じん}{生:せい}<br/>{人:じん}{種:しゅ}<br/>{人:ひと}{差:さ}し{指:ゆび}<br/>{人:じん}{文:ぶん}{科:か}{学:がく}<br/>{人:じん}{民:みん}<br/>{人:じん}{格:かく}<br/>{人:じん}{体:たい}<br/>{人:ひと}{質:じち}<br/>{人:にん}{気:き}<br/>{人:じん}{類:るい}<br/>{人:じん}{物:ぶつ}<br/>{人:ひと}ごみ<br/>{人:じん}{命:めい}
年	6	6	N5	grade 1	pestle 干	一 ノ 干 乞	year, counter for years	とし	ネン	{年:とし} year, age, years, past one's prime, old age<br/>{年明け:としあけ} beginning of the year, early in the New Year<br/>{いい年:いいとし} mature age, advanced age, maturity, age when one is old enough to know better<br/>{大年:おおとし} New Year's Eve, December 31st, Jupiter (planet)	{年:ネン} year (e.g. AD), counter for years<br/>{年会:ネンカイ} conference, annual convention<br/>{往年:オウネン} years gone by, earlier years, former years, the past<br/>{平年:ヘイネン} non-leap year, normal year (esp. as pertains to weather patterns, vegetative growth, harvest yields, etc.)	{年:とし}<br/>{年:ねん}<br/>{年:とせ}<br/>{年:とし}{寄:よ}り<br/>{年:ねん}{間:かん}<br/>{年:ねん}{齢:れい}<br/>{年:ねん}{代:だい}<br/>{年:とし}{月:つき}<br/>{年:ねん}{中:じゅう}<br/>{年:ねん}{鑑:かん}<br/>{年:ねん}{度:ど}<br/>{年:ねん}{生:せい}<br/>{年:とし}{頃:ごろ}<br/>{年:ねん}{長:ちょう}<br/>{年:ねん}{金:きん}<br/>{年:ねん}{功:こう}{序:じょ}{列:れつ}<br/>{年:とし}{上:うえ}<br/>{年:とし}{下:した}<br/>{年:ねん}{々:ねん}<br/>{年:ねん}{配:ぱい}
大	3	7	N5	grade 1	big, very 大	大	large, big	おお-, おお.きい, -おお.いに	ダイ, タイ	{大きい:おおきい} big, large, great, loud, extensive, spacious, important, decisive, valuable, older, grown up	{大:ダイ} large, big, great, huge, vast, major, important, serious, severe, great, prominent, eminent, distinguished, -sized, as big as, the size of, university, large (e.g. serving size), large option, long month (i.e. having 31 days)<br/>{大英博物館:ダイエイハクブツカン} British Museum<br/>{国大:コクダイ} national university<br/>{電通大:デンツウダイ} University of Electro-Communications<br/>{大:タイ} nth year in the Taishō era (1912.7.30-1926.12.25)<br/>{大尉:タイイ} captain (Army, U.S. Marine Corps, USAF), lieutenant (Navy), flight lieutenant (RAF, RAAF, RNZAF, etc.)<br/>{負荷増大:フカゾウタイ} load increase<br/>{御大:オンタイ} boss, governor, headman	{大:だい}<br/>{大:おお}<br/>{大:おお}き<br/>{大:たい}<br/>{大:おお}い<br/>{大:だい}{学:がく}<br/>{大人:おとな}<br/>{大:たい}{使:し}{館:かん}<br/>{大:だい}{統:とう}{領:りょう}<br/>{大:たい}{陸:りく}<br/>{大:だい}{臣:じん}<br/>{大:たい}{使:し}<br/>{大:おお}{通:どお}り<br/>{大:たい}{変:へん}<br/>{大:おお}きな<br/>{大:おお}きい<br/>{大:たい}{切:せつ}<br/>{大:だい}{好:す}き<br/>{大:だい}{丈:じょう}{夫:ぶ}<br/>{大:おお}{勢:ぜい}
十	2	8	N5	grade 1	ten, complete 十	十	ten	とお, と, そ	ジュウ, ジッ, ジュッ	{十:じゅう} ten<br/>{十日:とおか} the tenth day of the month, ten days<br/>{十:じゅう} ten<br/>{十日:とおか} the tenth day of the month, ten days<br/>{算盤:そろばん} abacus	{十:ジュウ} ten<br/>{十一:ジュウイチ} eleven, 11, jack (playing card), Hodgson's hawk-cuckoo (Cuculus fugax), Horsfield's hawk cuckoo<br/>９０ 【キュウジュウ】 ninety, 90<br/>{明日の百より今日の五十:アスノヒャクヨリキョウノゴジュウ} a bird in the hand is worth two in the bush, fifty today is better than a hundred tomorrow<br/>{十種競技:ジッシュキョウギ} decathlon<br/>{十指:ジッシ} the ten fingers<br/>{十指:ジッシ} the ten fingers<br/>{十回:ジッカイ} ten times	{十:じゅう}<br/>{十:シー}<br/>{十:じゅう}{分:ぶん}<br/>{十:じゅう}{字:じ}{路:ろ}<br/>{十:とお}{日:か}<br/>{十:じゅう}{一:いち}<br/>{十:じゅう}{字:じ}{架:か}<br/>{十:じゅう}{文:もん}{字:じ}<br/>{十:じゅう}{五:ご}<br/>{十:じゅう}{七:しち}<br/>{十:じっ}{進:しん}{法:ほう}<br/>{十中八九:じっちゅうはっく}<br/>{十:じゅう}{二:に}{分:ぶん}
二	2	9	N5	grade 1	two 二	二	two, two radical (no. 7)	ふた, ふた.つ, ふたたび	ニ, ジ	{二:に} two<br/>{二重:にじゅう} double, two-fold, two layers, duplex, diplo-, dipl-, double-edged eyelid, double eyelid, creased eyelid<br/>{二つ:ふたつ} two<br/>{二つ目:ふたつめ} one after next, second<br/>{再び:ふたたび} again, once more, a second time	{二:ニ} two<br/>{二院:ニイン} the two houses of legislature<br/>{一二:イチニ} the first and second, a few<br/>{十二:ジュウニ} twelve, 12, queen (playing card)<br/>{次男:ジナン} second son<br/>{二黒:ジコク} second of nine traditional astrological signs (corresponding to Saturn and southwest)<br/>{不二:フジ} being two sides of the same coin, being the same (while appearing different), Very sincerely yours, peerless, unparalleled, unparallelled<br/>{唯一不二:ユイイツフジ} one and only, unique	{二:に}<br/>{二:アル}<br/>{二:ふた}つ<br/>{二十日:はつか}<br/>{二日:ふつか}<br/>{二:ふた}{人:り}<br/>{二十歳:はたち}<br/>{二:に}{人:にん}{三:さん}{脚:きゃく}<br/>{二:に}{部:ぶ}<br/>{二:に}{酸:さん}{化:か}{炭:たん}{素:そ}<br/>{二日酔い:ふつかよ}<br/>{二:に}{番:ばん}<br/>{二:に}{階:かい}<br/>{二:に}{十:じっ}{世:せい}{紀:き}<br/>{二:に}{枚:まい}
本	5	10	N5	grade 1	tree 木	一 木	book, present, main, origin, true, real, counter for long cylindrical things	もと	ホン	{元:もと} origin, source, base, basis, foundation, root, cause, ingredient, material, (somebody's) side, (somebody's) location, original cost (or capital, principal, etc.), (plant) root, (tree) trunk, first section of a waka, counter for blades of grass, tree trunks, etc., and for falcons (in falconry), handle (chopsticks, brush, etc.), grip<br/>{本木:もとき} original stock<br/>{大本:おおもと} root, origin, source, cause, basis, foundation<br/>{旗本:はたもと} shogunal vassal, direct retainer of a shogun	{本:ホン} book, volume, script, this, present, main, head, real, regular, counter for long cylindrical things, counter for films, TV shows, etc., counter for goals, home runs, etc., counter for telephone calls<br/>{本位:ホンイ} standard, basis, principle<br/>{社会資本:シャカイシホン} social capital, SOC<br/>{配本:ハイホン} distribution of books	{本:ほん}<br/>{本:ほん}{棚:だな}<br/>{本:ほん}{当:とう}<br/>{本:ほん}{能:のう}<br/>{本:ほん}{質:しつ}<br/>{本:ほん}{物:もの}<br/>{本:ほん}{人:にん}<br/>{本:ほん}{来:らい}<br/>{本:ほん}{部:ぶ}<br/>{本:ほん}の<br/>{本:ほん}{気:き}<br/>{本:ほん}{音:ね}<br/>{本:ほん}{文:ぶん}<br/>{本:ほん}{体:たい}<br/>{本:ほん}{館:かん}<br/>{本:ほん}{土:ど}<br/>{本:ほん}{性:しょう}<br/>{本:ほん}{領:りょう}
